SemestreLetivo;Formato;Curso;TotalGeral
2010/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;243
2011/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;259
2011/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;298
2012/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;311
2012/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;315
2013/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;332
2013/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;346
2014/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;366
2014/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;345
2015/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;357
2015/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;355
2016/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;358
2016/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;368
2017/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;355
2017/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;369
2018/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;368
2018/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;373
2019/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;370
2003/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;221
2003/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;238
2004/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;239
2004/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;242
2005/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;239
2005/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;236
2006/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;235
2006/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;245
2007/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;241
2007/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;257
2008/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;258
2008/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;265
2009/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;278
2009/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;295
2010/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;300
2010/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;309
2011/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;310
2011/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;331
2012/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;338
2012/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;348
2013/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;352
2013/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;366
2014/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;361
2014/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;356
2015/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;370
2015/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;368
2016/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;369
2016/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;360
2017/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;347
2017/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;369
2018/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;368
2018/2;PRESENCIAL;ENGENHARIA DE MINAS-MIN;373
2019/1;PRESENCIAL;ENGENHARIA DE MINAS-MIN;356
2003/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;232
2003/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;224
2004/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;221
2004/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;209
2005/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;224
2005/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;201
2006/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;221
2006/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;203
