,ANO_SEMESTRE,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO,Frequência da matéria,TAXA_REPROVACAO_POR_NOTA,TAXA_REPROVACAO_POR_FALTA,TAXA_DE_TRANCAMENTO,Tipo_de_materia,Escola
66,2008.2.0,FIS209,MECANICA CLASSICA,0.538,23,0.28600000000000003,0.1,0.07200000000000001,CANCELADA,
67,1998.1.0,FIS210,FISICA TERMICA,0.7008333333333333,23,0.18833333333333332,0.07083333333333333,0.03916666666666666,CANCELADA,
68,1998.2.0,FIS210,FISICA TERMICA,0.4792307692307692,23,0.27153846153846156,0.19615384615384618,0.05230769230769231,CANCELADA,
69,1999.1.0,FIS210,FISICA TERMICA,0.6058333333333333,23,0.21416666666666664,0.15000000000000002,0.03,CANCELADA,
70,1999.2.0,FIS210,FISICA TERMICA,0.6592857142857144,23,0.25,0.07857142857142858,0.012142857142857144,CANCELADA,
71,2000.1.0,FIS210,FISICA TERMICA,0.6014285714285714,23,0.17071428571428574,0.13142857142857142,0.09714285714285717,CANCELADA,
72,2000.2.0,FIS210,FISICA TERMICA,0.6,23,0.21,0.12333333333333334,0.06666666666666667,CANCELADA,
73,2001.1.0,FIS210,FISICA TERMICA,0.71,23,0.15333333333333335,0.09333333333333334,0.03666666666666667,CANCELADA,
74,2001.2.0,FIS210,FISICA TERMICA,0.775,23,0.1275,0.055,0.042499999999999996,CANCELADA,
75,2002.1.0,FIS210,FISICA TERMICA,0.7799999999999999,23,0.13333333333333333,0.06333333333333332,0.02666666666666667,CANCELADA,
76,2002.2.0,FIS210,FISICA TERMICA,0.7575000000000001,23,0.1,0.1025,0.0425,CANCELADA,
77,2003.1.0,FIS210,FISICA TERMICA,0.7825000000000001,23,0.09999999999999999,0.09000000000000001,0.027500000000000004,CANCELADA,
78,2003.2.0,FIS210,FISICA TERMICA,0.65,23,0.21200000000000002,0.06399999999999999,0.072,CANCELADA,
79,2004.1.0,FIS210,FISICA TERMICA,0.7180000000000001,23,0.148,0.086,0.05,CANCELADA,
80,2004.2.0,FIS210,FISICA TERMICA,0.7939999999999999,23,0.05600000000000001,0.076,0.076,CANCELADA,
81,2005.1.0,FIS210,FISICA TERMICA,0.8424999999999999,23,0.07,0.0475,0.0425,CANCELADA,
82,2005.2.0,FIS210,FISICA TERMICA,0.8550000000000001,23,0.0125,0.0675,0.0625,CANCELADA,
83,2006.1.0,FIS210,FISICA TERMICA,0.8375,23,0.037500000000000006,0.0675,0.055,CANCELADA,
84,2006.2.0,FIS210,FISICA TERMICA,0.71,23,0.12499999999999999,0.1025,0.0625,CANCELADA,
85,2007.1.0,FIS210,FISICA TERMICA,0.7050000000000001,23,0.2,0.07250000000000001,0.0225,CANCELADA,
86,2007.2.0,FIS210,FISICA TERMICA,0.62,23,0.305,0.027500000000000004,0.047499999999999994,CANCELADA,
87,2008.1.0,FIS210,FISICA TERMICA,0.6925,23,0.235,0.0225,0.049999999999999996,CANCELADA,
88,2008.2.0,FIS210,FISICA TERMICA,0.7375,23,0.18,0.0375,0.042499999999999996,CANCELADA,
89,2009.1.0,FIS210,FISICA TERMICA,0.7175,23,0.15750000000000003,0.052500000000000005,0.075,CANCELADA,
90,1998.1.0,FIS211,ELETROMAGNETISMO,0.664,24,0.13533333333333336,0.154,0.046000000000000006,CANCELADA,
91,1998.2.0,FIS211,ELETROMAGNETISMO,0.7506666666666668,24,0.08866666666666667,0.10333333333333333,0.05666666666666667,CANCELADA,
92,1999.1.0,FIS211,ELETROMAGNETISMO,0.5958333333333333,24,0.2525,0.15083333333333335,0.0,CANCELADA,
93,1999.2.0,FIS211,ELETROMAGNETISMO,0.54125,24,0.306875,0.10062500000000002,0.051250000000000004,CANCELADA,
94,2000.1.0,FIS211,ELETROMAGNETISMO,0.6468750000000002,24,0.17625,0.110625,0.06375,CANCELADA,
95,2000.2.0,FIS211,ELETROMAGNETISMO,0.49749999999999994,24,0.2475,0.14500000000000002,0.10999999999999999,CANCELADA,
96,2001.1.0,FIS211,ELETROMAGNETISMO,0.645,24,0.2725,0.0475,0.035,CANCELADA,
97,2001.2.0,FIS211,ELETROMAGNETISMO,0.66,24,0.26,0.013333333333333334,0.06666666666666667,CANCELADA,
98,2001.4.0,FIS211,ELETROMAGNETISMO,0.88,24,0.12,0.0,0.0,CANCELADA,
99,2002.1.0,FIS211,ELETROMAGNETISMO,0.7333333333333334,24,0.14333333333333334,0.08666666666666667,0.04,CANCELADA,
100,2002.2.0,FIS211,ELETROMAGNETISMO,0.8119999999999999,24,0.049999999999999996,0.088,0.052000000000000005,CANCELADA,
101,2003.1.0,FIS211,ELETROMAGNETISMO,0.69,24,0.1275,0.1475,0.035,CANCELADA,
102,2003.2.0,FIS211,ELETROMAGNETISMO,0.6025,24,0.1875,0.135,0.07500000000000001,CANCELADA,
103,2004.1.0,FIS211,ELETROMAGNETISMO,0.53,24,0.245,0.10500000000000001,0.1225,CANCELADA,
104,2004.2.0,FIS211,ELETROMAGNETISMO,0.744,24,0.12000000000000002,0.08,0.05600000000000001,CANCELADA,
105,2005.1.0,FIS211,ELETROMAGNETISMO,0.6349999999999999,24,0.275,0.0325,0.055,CANCELADA,
106,2005.2.0,FIS211,ELETROMAGNETISMO,0.5619999999999999,24,0.18,0.136,0.124,CANCELADA,
107,2006.1.0,FIS211,ELETROMAGNETISMO,0.6299999999999999,24,0.196,0.124,0.05,CANCELADA,
108,2006.2.0,FIS211,ELETROMAGNETISMO,0.398,24,0.35,0.186,0.064,CANCELADA,
109,2007.1.0,FIS211,ELETROMAGNETISMO,0.384,24,0.362,0.098,0.16,CANCELADA,
110,2007.2.0,FIS211,ELETROMAGNETISMO,0.33999999999999997,24,0.42400000000000004,0.16,0.078,CANCELADA,
111,2008.1.0,FIS211,ELETROMAGNETISMO,0.52,24,0.292,0.10200000000000001,0.08600000000000001,CANCELADA,
112,2008.2.0,FIS211,ELETROMAGNETISMO,0.5871428571428571,24,0.23285714285714287,0.0842857142857143,0.09428571428571429,CANCELADA,
113,2009.1.0,FIS211,ELETROMAGNETISMO,0.6319999999999999,24,0.202,0.10800000000000001,0.06400000000000002,CANCELADA,
