,ANO,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO
351,2007,PRO230,ENGENHARIA DE METODOS,0.84
352,2007,PRO231,ENGENHARIA DO TRABALHO,0.97
353,2007,PRO233,PSICOLOGIA SOCIAL DAS ORGANIZACOES,0.8166666666666668
354,2007,PRO234,ORGANIZACAO E AVALIACAO DO TRABALHO,0.96
355,2007,PRO270,PESQUISA OPERACIONAL I PARA ENGENHARIA,0.97
356,2007,PRO271,PESQUISA OPERACIONAL II PARA ENGENHARIA,0.86
357,2007,PRO300,INTRODUCAO A TEORIA GERAL DA ADMINISTRACAO,0.89
358,2007,PRO311,GERENCIA DA INOVACAO:A EMPRESA DE BASE TECNOLOGICA,1.0
359,2007,PRO314,GERENCIA DE RECURSOS HUMANOS,0.86
360,2007,PRO318,PLANEJAMENTO ESTRATEGICO,0.95
361,2007,PRO320,ANALISE DE INVESTIMENTOS,1.0
362,2007,PRO321,ADMINISTRACAO FINANCEIRA,0.85
363,2007,PRO323,ECONOMIA BRASILEIRA,1.0
364,2007,PRO326,MACROECONOMIA,1.0
365,2007,PRO332,ETICA E ENGENHARIA DE PRODUCAO,0.97
366,2007,PRO397,GESTAO ESTRATEGICA E MARKETING,0.97
367,2007,QUI200,QUIMICA GERAL,0.6663333333333333
368,2008,CAT107,INSTALACOES INDUSTRIAIS,0.985
369,2008,CAT112,EXPRESSAO GRAFICA I,0.775
370,2008,CAT113,EXPRESSAO GRAFICA II,0.895
371,2008,CAT126,SISTEMAS MECANICOS,0.92
372,2008,CAT127,SISTEMAS ELETRICOS,0.86
373,2008,CAT137,SISTEMAS TERMODINAMICOS,0.97
374,2008,CAT301,PLANEJAMENTO INTEGRADO DE RECURSOS,0.5
375,2008,CAT305,ANALISE E PROJECAO DA DEMANDA DE ENERGIA,1.0
376,2008,CIC107,PROGRAMACAO DE COMPUTADORES I,0.6789999999999999
377,2008,CIC108,PROGRAMACAO DE COMPUTADORES II,0.745
378,2008,CIC109,ALGORITMOS E ESTRUTURA DE DADOS I,0.8133333333333335
379,2008,CIC111,MATEMATICA DISCRETA II,0.54
380,2008,CIC170,CALCULO NUMERICO,0.6045454545454545
381,2008,CIC182,AUTOMACAO INDUSTRIAL,0.9
382,2008,CIC240,METODOLOGIA DE PROJETO DE SOFTWARE,1.0
383,2008,CIC272,INTELIGENCIA COMPUTACIONAL PARA OTIMIZACAO,0.45
384,2008,CIC273,SIMULACAO APLICADA,0.91
385,2008,CIC370,OTIMIZACAO COMBINATORIA,0.6975
386,2008,EDU303,METODOLOGIA CIENTIFICA,0.8138888888888888
387,2008,FIS209,MECANICA CLASSICA,0.6318181818181817
388,2008,FIS210,FISICA TERMICA,0.715
389,2008,FIS211,ELETROMAGNETISMO,0.5591666666666667
390,2008,FIS212,ESTRUTURA DA MATERIA,0.49249999999999994
391,2008,FIS213,OSCILACOES E ONDAS,0.5900000000000001
392,2008,FIS214,MECANICA RACIONAL,0.7225
393,2008,FIS215,MECANICA DO CONTINUO,0.87
394,2008,MET247,ENGENHARIA DE PROCESSOS MECANICOS,0.6
395,2008,MET248,PRINCIPIOS DE CIENCIA DOS MATERIAIS,0.752
396,2008,MTM112,INTRODUCAO A ALGEBRA LINEAR,0.6141666666666666
397,2008,MTM122,CALCULO DIFERENCIAL E INTEGRAL I,0.45437500000000003
398,2008,MTM123,CALCULO DIFERENCIAL E INTEGRAL II,0.49249999999999994
399,2008,MTM124,CALCULO DIFERENCIAL E INTEGRAL III,0.5109999999999999
400,2008,MTM125,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,0.5481818181818181
401,2008,MTM129,ELEMENTOS DE EQUACOES DIFERENCIAIS PARCIAIS,0.74
402,2008,MTM131,GEOMETRIA ANALITICA E CALCULO VETORIAL,0.5950000000000001
403,2008,MTM151,ESTATISTICA E PROBABILIDADE,0.6225
404,2008,MTM154,ESTATISTICA APLICADA I,0.52
405,2008,MTM155,ESTATISTICA APLICADA II,0.48
406,2008,MTM158,ECONOMETRIA,1.0
407,2008,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,0.97
408,2008,PRO126,"ENERGIA, SOCIEDADE E MEIO AMBIENTE",0.85
409,2008,PRO130,PROJETO EM ENGENHARIA DE PRODUCAO II,0.935
410,2008,PRO131,PROJETO EM ENGENHARIA DE PRODUCAO III,0.5605882352941177
411,2008,PRO201,GESTAO DE QUALIDADE,0.9650000000000001
412,2008,PRO215,PLANEJAMENTO E CONTROLE DA PRODUCAO I,0.9866666666666667
413,2008,PRO216,PLANEJAMENTO E CONTROLE DE PRODUCAO II,0.89
414,2008,PRO217,PLANEJAMENTO DAS INSTALACOES,0.97
415,2008,PRO219,PROJETO DO PRODUTO,0.88
416,2008,PRO222,CUSTOS INDUSTRIAIS E CONTABILIDADE GERENCIAL,0.92
417,2008,PRO224,ECONOMIA DA ENGENHARIA,0.955
418,2008,PRO226,MACROECONOMIA,0.97
419,2008,PRO227,MICROECONOMIA,1.0
420,2008,PRO230,ENGENHARIA DE METODOS,0.9650000000000001
421,2008,PRO231,ENGENHARIA DO TRABALHO,0.93
422,2008,PRO232,ENGENHARIA DO TRABALHO,0.89
423,2008,PRO233,PSICOLOGIA SOCIAL DAS ORGANIZACOES,0.985
424,2008,PRO234,ORGANIZACAO E AVALIACAO DO TRABALHO,0.86
