"ano";"semestre";"campus";"unidade_academica";"curso";"habilitacao";"formato";"diplomados"
2015;1;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"";"PRESENCIAL";41
2015;1;"OURO PRETO";"ESCOLA DE MEDICINA";"MEDICINA-MED";"";"PRESENCIAL";37
2015;1;"OURO PRETO";"ESCOLA DE MINAS";"ARQUITETURA E URBANISMO-ARQ";"";"PRESENCIAL";19
2015;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA AMBIENTAL-AMB";"";"PRESENCIAL";5
2015;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA CIVIL-CIV";"";"PRESENCIAL";17
2015;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE CONTROLE E AUTOMACAO-AUT";"";"PRESENCIAL";23
2015;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE MINAS-MIN";"";"PRESENCIAL";25
2015;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE PRODUCAO-PRO";"";"PRESENCIAL";18
2015;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"";"PRESENCIAL";22
2015;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA MECANICA-MEC";"";"PRESENCIAL";28
2015;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA METALURGICA-MET";"";"PRESENCIAL";21
2015;1;"OURO PRETO";"ESCOLA DE NUTRICAO";"CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI";"";"PRESENCIAL";20
2015;1;"OURO PRETO";"ESCOLA DE NUTRICAO";"NUTRICAO-NUT";"";"PRESENCIAL";11
2015;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIA DA COMPUTACAO-COM";"";"PRESENCIAL";24
2015;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIAS BIOLOGICAS-CBB";"";"PRESENCIAL";8
2015;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIAS BIOLOGICAS-CBL";"";"PRESENCIAL";3
2015;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"ESTATISTICA-EST";"";"PRESENCIAL";3
